Sector	Latitude	Longitude	Azimuth	LAC	CI	Keywords
1812	19.0907	72.8331	160	27112	1812	BSC51
1813	19.0907	72.8331	230	27112	1813	BSC51
1821	19.1272	72.8619	75	33006	1821	BSC50
1822	19.1272	72.8619	235	33006	1822	BSC50
1823	19.1272	72.8619	335	33006	1823	BSC50
1841	19.0318	72.9077	220	28908	1841	BSC35
1842	19.0318	72.9077	310	28908	1842	BSC35
1851	19.1133	72.8524	105	18051	1851	BSC22
1852	19.1133	72.8524	150	18051	1852	BSC22
1853	19.1133	72.8524	330	18051	1853	BSC22
